name,PlantPartHarvested,parent,AvMoisture,AvN,AvP,AvK
Trifolium incarnatum,Aboveground biomass,Forage,11.75,2.65,0.22,2.76
Allium cepa,Leaf,Vegetable,92.00,4.00,0.38,2.75
Brassica rapa var. rapa,Root,Vegetable,91.06,2.24,0.32,2.73
Brassica oleracea,Head (terminal bud and leaves),Vegetable,90.80,3.45,0.35,2.73
Medicago sativa,Aboveground biomass,Forage,76.18,3.35,0.29,2.72
Medicago sativa,Aboveground biomass,Forage,75.08,3.16,0.29,2.71
Phaseolus sp.,Seed,Vegetable,11.40,4.22,0.54,2.69
Elymus trachycaulus,Aboveground biomass,Forage,8.93,1.40,0.25,2.68
Poaceae,Aboveground biomass,Forage,8.00,1.38,0.27,2.67
Cucurbita maxima,Fruit,Vegetable,88.00,2.67,0.18,2.67
Brassica oleracea,Leaf,Vegetable,85.00,3.52,0.37,2.67
Cucurbita moschata,Fruit,Vegetable,85.00,1.07,0.22,2.67
Tripsacum dactyloides,Aboveground biomass,Forage,10.85,1.69,0.40,2.64
Dactylis glomerata,Aboveground biomass,Forage,74.13,2.37,0.18,2.64
Capsicum annuum var. annuum,Fruit,Vegetable,84.00,2.00,0.28,2.63
Fagopyrum sp.,Straw,Cereal and oil,11.32,0.79,0.10,2.62
Sorghum bicolor ssp. drummondii,Aboveground biomass,Forage,77.00,1.64,0.21,2.61
Medicago sativa,Aboveground biomass,Forage,76.50,3.21,0.28,2.61
Trifolium hybridum,Aboveground biomass,Forage,75.87,2.50,0.26,2.58
Trifolium hybridum,Aboveground biomass,Forage,76.40,2.51,0.25,2.58
Cucumis melo,Fruit,Tree and fruit,88.33,0.91,0.16,2.58
Sorghum bicolor ssp. drummondii,Aboveground biomass,Forage,78.25,1.85,0.23,2.57
Trifolium hybridum,Aboveground biomass,Forage,10.35,2.36,0.28,2.55
Trifolium hybridum,Aboveground biomass,Forage,11.00,2.42,0.28,2.55
Lolium perenne ssp. perenne,Aboveground biomass,Forage,76.88,1.86,0.28,2.55
Phleum pratense,Aboveground biomass,Forage,74.45,2.41,0.43,2.54
Medicago sativa,Aboveground biomass,Forage,12.00,3.17,0.26,2.54
Sorghum bicolor,Aboveground biomass,Forage,76.85,1.37,0.24,2.51
Vica sativa,Aboveground biomass,Forage,75.00,3.00,0.35,2.51
Trifolium pratense,Aboveground biomass,Forage,80.15,3.10,0.38,2.49
Trifolium hybridum,Aboveground biomass,Forage,12.56,2.27,0.25,2.48
Medicago sativa,Aboveground biomass,Forage,9.90,2.62,0.35,2.48
Medicago sativa,Aboveground biomass,Forage,10.30,2.97,0.19,2.47
Medicago sativa,Aboveground biomass,Forage,9.30,2.74,0.26,2.47
Beta vulgaris,Root,Vegetable,87.46,2.15,0.32,2.46
Medicago sativa,Aboveground biomass,Forage,11.34,3.39,0.34,2.44
Trofolium repens,Aboveground biomass,Forage,10.82,3.32,0.32,2.43
Daucus carota ssp. sativus,Root,Vegetable,88.00,1.51,0.33,2.43
Avena sativa,Aboveground biomass,Forage,14.20,1.47,0.35,2.41
Persea americana,Fruit,Tree and fruit,79.73,1.26,0.19,2.41
Trifolium pratense,Aboveground biomass,Forage,77.50,2.92,0.29,2.40
Vigna unguiculata ssp. unguiculata,Aboveground biomass,Forage,9.60,2.97,0.32,2.39
Agrostis alba,Aboveground biomass,Forage,8.00,2.21,0.15,2.39
Avena sativa,Straw,Cereal and oil,9.68,0.71,0.09,2.39
Lolium arundinaceum,Aboveground biomass,Forage,8.40,2.31,0.32,2.36
Lolium arundinaceum,Aboveground biomass,Forage,7.90,3.25,0.51,2.36
Medicago sativa,Aboveground biomass,Forage,10.58,3.05,0.23,2.34
